Handlungsfeld_ID	Handlungsfeld_Name	Indikator_ID	Indikator_Name	Kennzahl_ID	Kennzahl_Name	Kennzahl_Definition	Lebensphase_ID	Lebensphase_Name	Jahr	Geschlecht_ID	Geschlecht_Name	Alter_ID	Alter_Name	Region_ID	Region_Name	Bildung_Casmin_ID	Bildung_Casmin_Name	Bildung_Isced_ID	Bildung_Isced_Name	GISD_ID	GISD_Name	Standardisierung_ID	Standardisierung_Name	Wert	Unteres_Konfidenzintervall	Oberes_Konfidenzintervall	Datenstand
1	Handlungsfeld 1 - Diabetesrisiko reduzieren	1011	Inzidenz dokumentierter Diabetes	0	Inzidenz dokumentierter Diabetes	Neuerkrankungen in %	0	Erwachsene	2012	0	Gesamt	00+	Gesamt	00	Deutschland	NA	NA	NA	NA	NA	NA	1	beobachtet relativ	1.2	1.21	1.21	2021-02-24
1	Handlungsfeld 1 - Diabetesrisiko reduzieren	1011	Inzidenz dokumentierter Diabetes	0	Inzidenz dokumentierter Diabetes	Neuerkrankungen in %	0	Erwachsene	2012	0	Gesamt	18-34	18-34 Jahre	00	Deutschland	NA	NA	NA	NA	NA	NA	1	beobachtet relativ	0.13	0.13	0.14	2021-02-24
1	Handlungsfeld 1 - Diabetesrisiko reduzieren	1011	Inzidenz dokumentierter Diabetes	0	Inzidenz dokumentierter Diabetes	Neuerkrankungen in %	0	Erwachsene	2012	0	Gesamt	35-49	35-49 Jahre	00	Deutschland	NA	NA	NA	NA	NA	NA	1	beobachtet relativ	0.56	0.56	0.56	2021-02-24
1	Handlungsfeld 1 - Diabetesrisiko reduzieren	1011	Inzidenz dokumentierter Diabetes	0	Inzidenz dokumentierter Diabetes	Neuerkrankungen in %	0	Erwachsene	2012	0	Gesamt	50-64	50-64 Jahre	00	Deutschland	NA	NA	NA	NA	NA	NA	1	beobachtet relativ	1.6	1.6	1.61	2021-02-24
1	Handlungsfeld 1 - Diabetesrisiko reduzieren	1011	Inzidenz dokumentierter Diabetes	0	Inzidenz dokumentierter Diabetes	Neuerkrankungen in %	0	Erwachsene	2012	0	Gesamt	65-79	65-79 Jahre	00	Deutschland	NA	NA	NA	NA	NA	NA	1	beobachtet relativ	2.7	2.72	2.74	2021-02-24
1	Handlungsfeld 1 - Diabetesrisiko reduzieren	1011	Inzidenz dokumentierter Diabetes	0	Inzidenz dokumentierter Diabetes	Neuerkrankungen in %	0	Erwachsene	2012	0	Gesamt	80+	≥80 Jahre	00	Deutschland	NA	NA	NA	NA	NA	NA	1	beobachtet relativ	3	2.97	3.02	2021-02-24
1	Handlungsfeld 1 - Diabetesrisiko reduzieren	1011	Inzidenz dokumentierter Diabetes	0	Inzidenz dokumentierter Diabetes	Anzahl der Personen in Tausend	0	Erwachsene	2012	0	Gesamt	00+	Gesamt	00	Deutschland	NA	NA	NA	NA	NA	NA	2	beobachtet absolut	561	NA	NA	2021-02-24
1	Handlungsfeld 1 - Diabetesrisiko reduzieren	1011	Inzidenz dokumentierter Diabetes	0	Inzidenz dokumentierter Diabetes	Neuerkrankungen in %	0	Erwachsene	2012	1	Weiblich	00+	Gesamt	00	Deutschland	NA	NA	NA	NA	NA	NA	1	beobachtet relativ	1.1	1.13	1.14	2021-02-24
1	Handlungsfeld 1 - Diabetesrisiko reduzieren	1011	Inzidenz dokumentierter Diabetes	0	Inzidenz dokumentierter Diabetes	Neuerkrankungen in %	0	Erwachsene	2012	1	Weiblich	18-34	18-34 Jahre	00	Deutschland	NA	NA	NA	NA	NA	NA	1	beobachtet relativ	0.16	0.16	0.17	2021-02-24
1	Handlungsfeld 1 - Diabetesrisiko reduzieren	1011	Inzidenz dokumentierter Diabetes	0	Inzidenz dokumentierter Diabetes	Neuerkrankungen in %	0	Erwachsene	2012	1	Weiblich	35-49	35-49 Jahre	00	Deutschland	NA	NA	NA	NA	NA	NA	1	beobachtet relativ	0.46	0.45	0.46	2021-02-24
